Id,Usia,Kendaraan,Lokasi 1,Lokasi 2,Lokasi 3,Lokasi 4,Lokasi 5,Lokasi 6,Lokasi 7,Lokasi 8,Lokasi 9,Lokasi 10,Lokasi 11,Lokasi 12,Lokasi 13,Lokasi 14,Lokasi 15,Lokasi 16,Lokasi 17,Lokasi 18,Lokasi 19,Lokasi 20,Lokasi 21,Lokasi 22,Lokasi 23,Lokasi 24,Lokasi 25,Lokasi 26,Lokasi 27,Lokasi 28,Lokasi 29,Lokasi 30,Lokasi 31,Lokasi 32,Lokasi 33,Lokasi 34,Lokasi 35,Lokasi 36,Lokasi 37,Lokasi 38,Lokasi 39,Lokasi 40,Lokasi 41,Lokasi 42,Lokasi 43,Lokasi 44,Lokasi 45,Lokasi 46,Lokasi 47,Lokasi 48,Lokasi 49,Lokasi 50,Lokasi 51,Lokasi 52,Lokasi 53,Lokasi 54,Lokasi 55,Lokasi 56,Lokasi 57,Lokasi 58,Lokasi 59,Lokasi 60,Lokasi 61,Lokasi 62,Lokasi 63,Lokasi 64,Lokasi 65,Lokasi 66,Lokasi 67,Lokasi 68,Lokasi 69,Lokasi 70,Lokasi 71,Lokasi 72,Lokasi 73,Lokasi 74,Lokasi 75,Lokasi 76,Lokasi 77,Lokasi 78,Lokasi 79,Lokasi 80,Lokasi 81,Lokasi 82,Lokasi 83,Lokasi 84,Lokasi 85,Lokasi 86,Lokasi 87,Lokasi 88,Lokasi 89,Lokasi 90,Lokasi 91,Lokasi 92,Lokasi 93,Lokasi 94,Lokasi 95,Lokasi 96,Lokasi 97,Lokasi 98,Lokasi 99,Lokasi 100
1,22,Motor,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,25,Mobil,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
3,18,KRL,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
4,30,TJ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0
5,35,KRL,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,22,TJ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0
7,24,Mobil,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8,28,KRL,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
9,20,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,35,Motor,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
